STATEFP,COUNTYFP,STATE,COUNTY,POP,R,D,TOTAL
1,1,Alabama,Autauga County,56145,19838,7503,27770
1,3,Alabama,Baldwin County,229287,83544,24578,109679
1,5,Alabama,Barbour County,24589,5622,4816,10518
1,7,Alabama,Bibb County,22136,7525,1986,9595
1,9,Alabama,Blount County,57879,24711,2640,27588
1,11,Alabama,Bullock County,9976,1146,3446,4613
1,13,Alabama,Butler County,19504,5458,3965,9488
1,15,Alabama,Calhoun County,113469,35101,15216,50983
1,17,Alabama,Chambers County,32865,8753,6365,15284
1,19,Alabama,Cherokee County,26294,10583,1624,12301
1,21,Alabama,Chilton County,44397,16085,3073,19310
1,23,Alabama,Choctaw County,12418,4296,3127,7464
1,25,Alabama,Clarke County,23291,7324,5755,13135
1,27,Alabama,Clay County,13112,5601,1267,6930
1,29,Alabama,Cleburne County,14967,6484,675,7227
1,31,Alabama,Coffee County,53230,16899,5076,22275
1,33,Alabama,Colbert County,55411,19203,8343,27886
1,35,Alabama,Conecuh County,11851,3442,2966,6441
1,37,Alabama,Coosa County,10650,3631,1796,5479
1,39,Alabama,Covington County,36930,14586,2721,17430
1,41,Alabama,Crenshaw County,13681,4864,1700,6617
1,43,Alabama,Cullman County,84515,36880,4478,41851
1,45,Alabama,Dale County,48959,14303,5170,19738
1,47,Alabama,Dallas County,36098,5524,12230,17864
1,49,Alabama,DeKalb County,71658,24767,4281,29356
1,51,Alabama,Elmore County,82158,30164,10367,41030
1,53,Alabama,Escambia County,36281,10869,4918,15910
1,55,Alabama,Etowah County,102371,35528,11567,47728
1,57,Alabama,Fayette County,16241,7300,1395,8766
1,59,Alabama,Franklin County,31507,10376,2086,12578
1,61,Alabama,Geneva County,26411,10848,1595,12545
1,63,Alabama,Greene County,7990,875,3884,4775
1,65,Alabama,Hale County,14670,3190,4687,7922
1,67,Alabama,Henry County,17223,6607,2606,9298
1,69,Alabama,Houston County,106580,32618,12917,46173
1,71,Alabama,Jackson County,51582,19670,3717,23636
1,73,Alabama,Jefferson County,655342,138843,181688,325848
1,75,Alabama,Lamar County,13764,6174,978,7193
1,77,Alabama,Lauderdale County,93368,31721,11915,44339
1,79,Alabama,Lawrence County,32857,12322,3562,16031
1,81,Alabama,Lee County,166831,42221,27860,71449
1,83,Alabama,Limestone County,102228,34640,13672,49235
1,85,Alabama,Lowndes County,9641,1836,4972,6835
1,87,Alabama,Macon County,17895,1541,7108,8723
1,89,Alabama,Madison County,379453,102780,87286,194767
1,91,Alabama,Marengo County,18733,5343,5488,10900
1,93,Alabama,Marion County,29703,12205,1463,13807
1,95,Alabama,Marshall County,96990,33191,5943,39655
1,97,Alabama,Mobile County,412716,101243,79474,183164
1,99,Alabama,Monroe County,20459,6147,4455,10668
1,101,Alabama,Montgomery County,224639,33311,64529,99139
1,103,Alabama,Morgan County,119883,39664,13234,53722
1,105,Alabama,Perry County,8687,1339,3860,5230
1,107,Alabama,Pickens County,19793,5594,4022,9668
1,109,Alabama,Pike County,32966,8042,5636,13841
1,111,Alabama,Randolph County,22920,8559,2203,10837
1,113,Alabama,Russell County,58237,9864,11228,21329
1,115,Alabama,St. Clair County,90739,36166,7744,44441
1,117,Alabama,Shelby County,221428,79700,33268,114950
